Continent,Member Countries,Total Population,Average Population,Population St. Dev.
Asia,5,2898666386.6106005,579733277.3221201,679097888.3660953
Australia,1,23316017.316017315,23316017.316017315,
Europe,6,457929667.21637183,76321611.20272864,34647667.06562293
North America,3,476980249.4802495,158993416.49341652,144380879.58647022
South America,1,205915254.23728815,205915254.23728815,
